{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-medium-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '3 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'BLÅFJÄLLET', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/blafjaellet-divan-bed-medium-firm-kabusa-dark-grey__1298220_pe936137_s5.jpg?f=xxs', 'price': '5 995', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'STAVANGER', 'description': 'Wooden base sprung mattress, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stavanger-wooden-base-sprung-mattress-medium-firm-anthracite__0395615_pe562590_s5.jpg?f=xxs', 'price': '4 695', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'BLÅFJÄLLET', 'description': 'Ottoman divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/blafjaellet-ottoman-divan-bed-medium-firm-vissle-blue__1298228_pe936128_s5.jpg?f=xxs', 'price': '8 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-orrsta-light-grey__0932404_pe791443_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Wooden base spr mattress, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-wooden-base-spr-mattress-medium-firm-beige__0965464_pe809472_s5.jpg?f=xxs', 'price': '4 490', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'STUVLAND', 'description': 'Wooden base spr mattress, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-wooden-base-spr-mattress-firm-natural__0965474_pe809475_s5.jpg?f=xxs', 'price': '12 090', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '16 295', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKÅRER', 'description': 'Wooden base spr mattress, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-spr-mattress-medium-firm-dark-beige__0965463_pe809466_s5.jpg?f=xxs', 'price': '4 690', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'BRIMNES', 'description': 'Day-bed w 2 drawers/2 mattresses, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/brimnes-day-bed-w-2-drawers-2-mattresses-white-afjaell-medium-firm__1161840_pe889557_s5.jpg?f=xxs', 'price': '4 585', 'springs': 'Foam', 'firmness': 'Medium firm'}
{'name': 'LILLFJÄLLET', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/lillfjaellet-divan-bed-vagstranda-firm-medium-firm-tussoey-tibbleby-beige__1259536_pe926719_s5.jpg?f=xxs', 'price': '15 695', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794070_pe765495_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'GLAMBERGET', 'description': 'Extendable bed w stor/2 mattresses, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/glamberget-extendable-bed-w-stor-2-mattresses-pine-afjaell-firm__1335916_pe947204_s5.jpg?f=xxs', 'price': '5 085', 'springs': 'Foam', 'firmness': 'Firm'}
{'name': 'NYHAMN', 'description': 'Pocket sprung mattress, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/nyhamn-pocket-sprung-mattress__1099396_pe865704_s5.jpg?f=xxs', 'price': '1 600', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'UTÅKER', 'description': 'Stackable bed with 2 mattresses, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/utaker-stackable-bed-with-2-mattresses-pine-afjaell-medium-firm__1161848_pe889564_s5.jpg?f=xxs', 'price': '4 085', 'springs': 'Foam', 'firmness': 'Medium firm'}
{'name': 'STAVANGER', 'description': 'Wooden base spr mattress, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stavanger-wooden-base-spr-mattress-firm-anthracite__0965472_pe809474_s5.jpg?f=xxs', 'price': '8 890', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-gunnared-blue__0794070_pe765495_s5.jpg?f=xxs', 'price': '16 295', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'NYHAMN', 'description': 'Foam mattress, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/nyhamn-foam-mattress-firm__0729225_pe736800_s5.jpg?f=xxs', 'price': '1 200', 'springs': 'Foam', 'firmness': 'Firm'}
{'name': 'LILLFJÄLLET', 'description': 'Divan bed with storage, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/lillfjaellet-divan-bed-with-storage-vagstranda-medium-firm-tussoey-tibbleby-green__1260059_pe926914_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'FYRESDAL', 'description': 'Day-bed with 2 mattresses, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/fyresdal-day-bed-with-2-mattresses-black-afjaell-medium-firm__1162174_pe889672_s5.jpg?f=xxs', 'price': '4 185', 'springs': 'Foam', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-hornnes-gunnared-blue__0794067_pe765493_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'STUVLAND', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-sprung-base-incl-mattress-pad-firm-tistedal-natural__0563975_pe665615_s5.jpg?f=xxs', 'price': '9 550', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'STUVLAND', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-sprung-base-incl-mattress-pad-medium-firm-tistedal-natural__0563975_pe665615_s5.jpg?f=xxs', 'price': '9 550', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'FLEKKE', 'description': 'Day-bed w 2 drawers/2 mattresses, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/flekke-day-bed-w-2-drawers-2-mattresses-white-afjaell-medium-firm__1162511_pe889845_s5.jpg?f=xxs', 'price': '5 485', 'springs': 'Foam', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'STUVLAND', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-sprung-base-incl-mattress-pad-firm-tistedal-natural__0564023_pe665601_s5.jpg?f=xxs', 'price': '9 590', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'STUVLAND', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-sprung-base-incl-mattress-pad-medium-firm-tistedal-natural__0564023_pe665601_s5.jpg?f=xxs', 'price': '9 590', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794070_pe765495_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-hornnes-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-gunnared-blue__0794067_pe765493_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794067_pe765493_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794067_pe765493_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '11 045', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-dark-grey__0419397_pe576253_s5.jpg?f=xxs', 'price': '11 045', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'STUVLAND', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-sprung-base-incl-mattress-pad-medium-firm-tistedal-natural__0563944_pe665577_s5.jpg?f=xxs', 'price': '9 590', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '13 795', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '11 045', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'STUVLAND', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-sprung-base-incl-mattress-pad-firm-tistedal-natural__0563944_pe665577_s5.jpg?f=xxs', 'price': '9 590', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '13 795', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794068_pe765494_s5.jpg?f=xxs', 'price': '11 240', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794067_pe765493_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794070_pe765495_s5.jpg?f=xxs', 'price': '13 795', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-hornnes-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '13 395', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '13 795', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-hornnes-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-gunnared-blue__0794067_pe765493_s5.jpg?f=xxs', 'price': '13 795', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-gunnared-blue__0794070_pe765495_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794834_pe765734_s5.jpg?f=xxs', 'price': '11 240', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-hornnes-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '13 395', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794067_pe765493_s5.jpg?f=xxs', 'price': '13 795', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-blue__0794070_pe765495_s5.jpg?f=xxs', 'price': '13 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-medium-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '2 595', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '3 495', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-medium-firm-dark-grey__0425640_pe581465_s5.jpg?f=xxs', 'price': '3 995', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '2 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 105x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-medium-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '3 295', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-medium-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '2 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
